insee	libelle1	libelle2	voie_num	voie_type	voie_nom	local	voie	CPBIBLIO	CEDEXB	BP	ville	DEPT	REGION	population_legale	
56233	BIBLIOTHEQUE MUNICIPALE							56470			Saint-Philibert	56	53	1506	
56234	MEDIATHEQUE MUNICIPALE		RUE CURIE			CENTRE CULTUREL	RUE CURIE	56510			Saint-Pierre-Quiberon	56	53	2300	
56236	bibliothèque municipale					mairie		56120			Saint-Servant	56	53	814	
56239	MEDIATHEQUE		20	RUE DE REDON			20 RUE DE REDON	56350			Saint-Vincent-sur-Oust	56	53	1363	
56240	RESEAU DES MEDIATHEQUES PRESQU'ILE DE RHUYS	Centre culturel l'Hermine		RUE	DU PERE COUDRIN	Rue du Père J.M. Coudrin	RUE DU PERE COUDRIN	56370			Sarzeau	56	53	13513	
56241	Bibliothèque municipale de Sauzon		rue	Lieutenant Riou	NC	NC	rue Lieutenant Riou NC	56360	NC		Sauzon	56	53	896	
56242	médiathèque municipale de Séglien		10	rue	yves calvé		10 rue yves calvé	56160			Séglien	56	53	739	
56243	BIBLIOTHEQUE MUNICIPALE					ruelle du recteur		56860			Séné	56	53	8435	
56244	MEDIATHEQUE MUNICIPALE		15	RUE	DU GENERAL DE KERHUE		15 RUE DU GENERAL DE KERHUE	56460	BP 25		Sérent	56	53	3001	
56245	bibliothèque communale					le bourg		56480			Silfiac	56	53	467	
56246	Médiathèque En F@im de Contes...			rue	George Sand	MAIRIE	rue George Sand	56300			Le Sourn	56	53	2097	
56247	MEDIATHEQUE MUNICIPALE			RUELLE DE LA GRANGE	DE LA GRANGE		RUELLE DE LA GRANGE	56250			Sulniac	56	53	3159	
56248	Médiathèque Marguerite LOHEZIC		rue	Saint Symphorien			rue Saint Symphorien	56450			Surzur	56	53	3523	
56249	Les amis du livre					Mairie		56800			Taupont	56	53	2213	
56251	Mediatheque			Rue de Nantes			Rue de Nantes	56450			Theix	56	53	6979	
56252	Bibliothèque Marie LE FRANC	Mairie de LE TOUR DU PARC	2	rue de la Mairie			2 rue de la Mairie	56370			Le Tour-du-Parc	56	53	1095	
56253	MEDIATHEQUE COMMUNAUTAIRE	PAYS DE LA GACILLY		PLACE	DE L'ABBE LOHIER		PLACE DE L'ABBE LOHIER	56140			Tréal	56	53	673	
56254	Médiathèque municipale de Trédion	Place St Christophe						56250			Trédion	56	53	1075	
56255	Bibliotheque municipale de Treffléan			rue	du Delan		rue du Delan	56250			Treffléan	56	53	2000	
56256	BIBLIOTHEQUE		3	RUE	DE BROCELIANDE	MAIRIE	3 RUE DE BROCELIANDE	56430			Tréhorenteuc	56	53	111	
56257	BIBLIOTHEQUE MUNICIPALE			PLACE	DU MARTRAY	MAIRIE	PLACE DU MARTRAY	56490			La Trinité-Porhoët	56	53	779	
56259	BIBLIOTHEQUE MUNICIPALE		6	route	d'Armorique		6 route d'Armorique	56190			La Trinité-Surzur	56	53	1107	
56260	MEDIATHEQUE DU PALAIS DES ARTS				PLACE DE BRETAGNE	BP 509	PLACE DE BRETAGNE	56019	CEDEX		Vannes	56	53	55494	
56261	Bibliothèque municipale La Vraie-Croix					Place du Palais		56250			La Vraie-Croix	56	53	1343	
56262	Les amis de la lecture	Bibliothèque	39	rue	Hoche		39 rue Hoche	56400			Bono	56	53	2267	
56263	BIBLIOTHEQUE MUNICIPALE		10	PLACE	NICOLAZIC		10 PLACE NICOLAZIC	56400			Sainte-Anne-d'Auray	56	53	2305	
56264	BIBLIOTHEQUE		5	RUE	DE BRISSAC		5 RUE DE BRISSAC	56540			Kernascléden	56	53	406	
57003	BIBLIOTHEQUE MUNICIPALE  d'ABRESCHVILLER	ASSOCIATION LIRE		RUE	JORDY		RUE JORDY	57560			Abreschviller	57	41	1542	
57012	BIBLIOTHEQUE MUNICIPALE		8	RUE	DE VERDUN		8 RUE DE VERDUN	57440			Algrange	57	41	6439	
57017	BIBLIOTHEQUE MUNICIPALE		69		GRAND'RUE		69   GRAND'RUE	57111			Amanvillers	57	41	2164	
57019	MEDIATHEQUE	JEAN MORETTE	44 BIS	RUE	CLEMENCEAU		44 BIS RUE CLEMENCEAU	57360			Amnéville-les-Thermes	57	41	10208	
57021	BIBLIOTHEQUE MUNICIPALE		10	RUE	DE L'ABBE JACQUAT		10 RUE DE L'ABBE JACQUAT	57130			Ancy-sur-Moselle	57	41	1457	
57032	BIBLIOTHEQUE MUNICIPALE		4	RUE	POINCARE		4 RUE POINCARE	57130			Ars-sur-Moselle	57	41	4781	
